value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.753246753;True;entropy;100;sqrt;163;0.002537968;0.000118222;924;0;0
0.733766234;False;gini;53;log2;318;0.029104563;0.491887027;660;0;0
0.733766234;True;gini;72;sqrt;91;0.193510201;0.000238993;451;0;0
0.753246753;False;gini;84;log2;707;0.135000157;0.000222498;29;0;0
0.779220779;False;entropy;8;log2;512;0.049948885;0.035998972;645;0;0
0.75974026;False;gini;21;log2;168;0.001141043;0.177522244;22;0;0
0.746753247;False;log_loss;58;log2;727;0.002731881;0.000340568;783;0;0
0.727272727;True;gini;37;;635;0.00015739;0.001496793;677;0;0
0.753246753;True;gini;64;sqrt;110;0.139599651;0.195809676;582;0;0
0.779220779;False;entropy;24;;30;0.054598003;0.011847895;668;0;0
0.785714286;True;entropy;97;log2;231;0.00504555;0.19277509;399;0;0
0.785714286;True;entropy;4;log2;928;0.001547637;0.014976486;242;0;0
0.746753247;False;log_loss;42;sqrt;91;0.000319223;0.008665751;77;0;0
0.75974026;True;entropy;7;;681;0.00021665;0.113648657;998;0;0
0.785714286;True;gini;4;sqrt;301;0.000582956;0.025529271;585;0;0
0.753246753;True;gini;42;;407;0.002832651;0.000474124;544;0;0
0.766233766;True;log_loss;79;;397;0.001201541;0.049187891;925;0;0
0.772727273;True;log_loss;80;log2;190;0.001364815;0.045586888;670;0;0
0.746753247;False;log_loss;20;log2;821;0.193406911;0.408912936;272;0;0
0.642857143;True;gini;86;;267;0.38444971;0.119388728;645;0;0
0.766233766;True;log_loss;30;log2;756;0.03047294;0.271862637;963;0;0
0.746753247;False;gini;79;sqrt;862;0.000228392;0.379773718;578;0;0
0.766233766;True;entropy;77;log2;746;0.122565426;0.261064971;988;0;0
0.746753247;False;gini;93;;810;0.000155198;0.00152575;840;0;0
0.779220779;True;gini;78;log2;837;0.014374465;0.012330571;834;0;0
0.74025974;True;log_loss;95;;730;0.150956652;0.203199633;959;0;0
0.75974026;False;gini;8;sqrt;713;0.000350751;0.122034134;968;0;0
0.74025974;True;gini;27;log2;460;0.001104547;0.000901142;803;0;0
0.75974026;True;log_loss;52;sqrt;522;0.000387954;0.000864017;435;0;0
0.733766234;False;gini;69;sqrt;473;0.003213384;0.000344108;73;0;0
0.766233766;True;log_loss;49;log2;820;0.001099711;0.030973915;273;0;0
0.74025974;False;gini;35;sqrt;189;0.000340722;0.007185956;1000;0;0
