value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.701298701;29.99659161;balanced;334;l1;liblinear;0.008293499;0;0
0.753246753;3826.902237;;580;l2;liblinear;0.005542692;0;0
0.701298701;189.7298225;balanced;744;l2;saga;1.25E-05;0;0
0.714285714;0.467867004;balanced;790;l1;liblinear;1.44E-05;0;0
0.688311688;17771.82956;balanced;112;l2;saga;4.43E-05;0;0
0.681818182;9114.82826;;493;l2;saga;0.063530994;0;0
0.694805195;0.007905924;balanced;259;l2;saga;0.002952472;0;0
0.707792208;6.497806651;;342;l2;saga;0.00012221;0;0
0.766233766;0.105002865;;368;l2;liblinear;7.77E-05;0;0
0.694805195;38389.74535;balanced;649;l2;liblinear;0.000600558;0;0
0.688311688;3.324793466;;612;l2;saga;0.075261598;0;0
0.694805195;47409.79065;;123;l1;saga;0.000215336;0;0
0.623376623;2.04E-05;balanced;440;l2;liblinear;1.13E-05;0;0
0.655844156;0.001596971;;995;l1;liblinear;0.001507611;0;0
0.701298701;0.039427338;balanced;209;l1;liblinear;0.000331253;0;0
0.714285714;0.0248729;;246;l1;liblinear;0.000176194;0;0
0.753246753;1253.865378;;178;l1;liblinear;0.000144934;0;0
0.694805195;48364.31265;balanced;132;l1;liblinear;0.000433612;0;0
0.753246753;13516.03448;;912;l2;liblinear;2.71E-05;0;0
0.701298701;0.000756338;;423;l2;saga;8.89E-05;0;0
0.753246753;66.66308131;;671;l1;liblinear;5.87E-05;0;0
0.714285714;651.7627647;;420;l1;saga;0.000641837;0;0
0.681818182;0.000126777;;306;l2;saga;0.003409608;0;0
0.701298701;0.132229737;;843;l2;saga;0.003182692;0;0
0.694805195;1718.325873;balanced;182;l2;liblinear;0.000392054;0;0
0.694805195;1456.861283;balanced;753;l1;liblinear;0.000696529;0;0
0.662337662;2.05E-05;;449;l2;saga;0.014947643;0;0
0.512987013;0.001187974;balanced;245;l1;liblinear;0.000831778;0;0
0.642857143;1.59E-05;balanced;871;l1;liblinear;0.050198399;0;0
0.662337662;20.17806402;balanced;614;l2;saga;0.010350162;0;0
0.694805195;0.019503919;;384;l1;saga;2.79E-05;0;0
0.681818182;0.008658808;;847;l1;saga;0.027057887;0;0
0.720779221;0.22630192;;759;l1;saga;9.03E-05;0;0
0.694805195;3.254227498;balanced;783;l2;saga;0.002556603;0;0
0.753246753;3.541214123;;549;l2;liblinear;0.002517846;0;0
0.642857143;1.89E-05;balanced;469;l1;saga;0.009647822;0;0
0.662337662;1.79E-05;;695;l2;saga;0.000318789;0;0
0.753246753;355.4471643;;939;l2;liblinear;1.03E-05;0;0
0.642857143;1.64E-05;balanced;251;l1;saga;0.000954346;0;0
0.681818182;30.65455331;;474;l1;saga;0.013913042;0;0
