value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.935;8.17E-05;;273;l2;liblinear;0.008512946;0;0
0.795;7780.703411;balanced;868;l1;saga;0.008144153;0;0
0.935;12326.88739;;333;l2;saga;0.000890034;0;0
0.935;0.002816786;;930;l2;saga;0.001585273;0;0
0.935;3.77E-05;;312;l2;liblinear;0.000126925;0;0
0.935;0.001546779;;208;l2;saga;1.06E-05;0;0
0.935;11373.68477;;855;l2;liblinear;0.001025509;0;0
0.935;0.000206887;balanced;912;l1;saga;8.48E-05;0;0
0.935;8280.987292;;446;l2;liblinear;0.029614959;0;0
0.615;9663.997931;balanced;406;l2;liblinear;0.040899358;0;0
0.935;59801.48821;;890;l2;saga;0.000182613;0;0
0.89;0.70631939;balanced;832;l2;saga;0.048484796;0;0
0.935;54187.82135;;160;l1;saga;0.059692358;0;0
0.62;74945.43673;balanced;659;l1;saga;0.000103874;0;0
0.935;19996.12747;;213;l2;liblinear;0.051190014;0;0
0.93;1.41E-05;balanced;484;l2;liblinear;5.34E-05;0;0
0.635;3.32233966;balanced;174;l1;liblinear;1.01E-05;0;0
0.935;18180.44466;;197;l2;liblinear;0.038780162;0;0
0.935;14433.57978;;333;l2;liblinear;0.000276339;0;0
0.615;17.29960203;balanced;689;l1;liblinear;0.020455317;0;0
0.935;0.334308551;;714;l2;liblinear;0.000152498;0;0
0.605;27248.3359;balanced;806;l2;liblinear;0.000268345;0;0
0.675;0.001696526;balanced;347;l2;liblinear;1.58E-05;0;0
0.935;1.38E-05;;848;l1;liblinear;0.005098814;0;0
0.935;0.075879179;;140;l2;liblinear;0.001154899;0;0
0.925;0.014573931;balanced;557;l1;saga;5.69E-05;0;0
0.935;0.000159219;;304;l2;saga;4.46E-05;0;0
0.935;277.0066348;;235;l2;saga;0.000745126;0;0
0.605;2643.548756;balanced;768;l1;liblinear;2.58E-05;0;0
0.575;1531.563128;balanced;961;l2;saga;2.68E-05;0;0
0.935;4.04E-05;balanced;764;l1;saga;0.002099131;0;0
0.59;0.823779367;balanced;957;l1;liblinear;3.32E-05;0;0
0.615;17065.95372;balanced;736;l2;liblinear;0.01590592;0;0
0.605;4.361167499;balanced;690;l2;liblinear;0.003763606;0;0
0.935;1410.517633;;255;l1;saga;0.000142984;0;0
