value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.935;False;entropy;81;log2;672;0.00242589;0.025571154;882;0;0
0.935;False;gini;30;;628;0.027273303;0.000402398;872;0;0
0.935;False;entropy;39;sqrt;321;0.000171379;0.550069078;897;0;0
0.935;True;gini;61;log2;142;0.13144807;0.000665815;372;0;0
0.935;True;gini;36;;964;0.011788945;0.22252817;881;0;0
0.935;False;log_loss;81;log2;154;0.000424194;0.998882992;140;0;0
0.935;True;log_loss;59;;886;0.164881369;0.000128528;369;0;0
0.93;True;gini;60;;122;0.000111311;0.000417892;835;0;0
0.935;True;log_loss;79;sqrt;500;0.21127047;0.000167289;678;0;0
0.935;True;gini;95;log2;185;0.003223599;0.422840821;813;0;0
0.935;True;entropy;4;log2;976;0.00509487;0.009174873;415;0;0
0.935;False;gini;61;sqrt;720;0.186091968;0.000880661;649;0;0
0.935;True;gini;65;log2;869;0.010087116;0.000760942;259;0;0
0.925;False;entropy;80;sqrt;413;0.001885878;0.004831685;687;0;0
0.93;False;log_loss;84;;459;0.00295068;0.233113022;482;0;0
0.93;False;gini;33;sqrt;801;0.002372684;0.000174964;172;0;0
0.935;False;gini;16;sqrt;342;0.038991334;0.000364689;502;0;0
0.935;True;entropy;79;;774;0.004084615;0.117494451;204;0;0
0.935;False;entropy;63;sqrt;939;0.430992262;0.505332294;980;0;0
0.935;True;log_loss;57;;20;0.000243621;0.176369305;992;0;0
0.935;True;gini;84;sqrt;903;0.012323837;0.002472657;101;0;0
0.935;True;gini;55;;562;0.0639334;0.001015822;223;0;0
0.935;False;entropy;35;;647;0.005030278;0.00173303;801;0;0
0.935;False;log_loss;9;sqrt;653;0.060632751;0.002965641;972;0;0
0.935;True;gini;26;log2;454;0.0003847;0.046221163;45;0;0
0.935;True;log_loss;79;sqrt;529;0.07934615;0.000680787;529;0;0
0.935;True;entropy;9;log2;425;0.089638888;0.598366479;571;0;0
0.92;False;gini;20;log2;509;0.000549098;0.014953735;254;0;0
0.935;True;entropy;37;sqrt;249;0.000741033;0.224706749;501;0;0
0.935;False;gini;64;sqrt;661;0.004137054;0.000303955;675;0;0
0.91;False;entropy;96;log2;939;0.000609827;0.00163018;475;0;0
0.915;False;log_loss;80;;713;0.00010841;0.050831183;64;0;0
0.935;False;log_loss;61;;525;0.004194657;0.308386614;188;0;0
0.935;False;gini;70;;976;0.031912258;0.07488043;473;0;0
0.935;False;gini;81;log2;337;0.007491946;0.918905514;459;0;0
0.935;False;gini;83;sqrt;458;0.051923662;0.006527791;832;0;0
0.935;False;log_loss;7;sqrt;784;0.328797975;0.061332221;748;0;0
0.93;False;log_loss;53;;845;0.000349415;0.097149536;716;0;0
0.935;False;gini;8;;923;0.014143317;0.000717191;666;0;0
0.935;True;gini;29;log2;129;0.000152638;0.265584176;547;0;0
0.935;True;entropy;15;sqrt;726;0.004334938;0.861903077;392;0;0
0.935;False;log_loss;24;log2;731;0.385817748;0.000605401;889;0;0
0.935;True;gini;50;log2;69;0.013308973;0.001703679;878;0;0
0.935;True;gini;78;;362;0.007135824;0.080725522;854;0;0
0.935;False;gini;71;sqrt;589;0.078394457;0.038879816;351;0;0
0.935;True;log_loss;65;sqrt;195;0.066794858;0.00274717;800;0;0
0.935;True;log_loss;27;;260;0.165979832;0.005438269;842;0;0
0.935;True;log_loss;85;log2;633;0.014716895;0.874802754;784;0;0
0.935;False;log_loss;91;log2;179;0.063775205;0.085226387;12;0;0
0.935;True;log_loss;39;sqrt;774;0.000108651;0.424961274;382;0;0
0.935;False;entropy;86;log2;569;0.039387498;0.150684747;509;0;0
0.935;False;log_loss;30;;324;0.09187413;0.021088249;413;0;0
0.915;False;gini;48;;380;0.000526854;0.041471638;311;0;0
0.935;True;gini;68;;162;0.002476527;0.000934405;228;0;0
0.935;True;log_loss;76;log2;948;0.03526015;0.00031548;932;0;0
0.93;True;entropy;97;;283;0.000291065;0.001740747;790;0;0
0.935;True;log_loss;78;log2;187;0.005256362;0.578471179;299;0;0
0.935;True;gini;46;;602;0.018533542;0.036148546;459;0;0
0.935;False;gini;71;log2;694;0.002029908;0.087098853;942;0;0
0.935;True;gini;68;log2;460;0.224172756;0.004542304;712;0;0
0.935;False;entropy;7;;596;0.014965544;0.207457283;611;0;0
0.935;True;entropy;8;log2;266;0.001917739;0.001136767;44;0;0
0.935;True;gini;42;log2;520;0.000101159;0.130873498;985;0;0
0.935;True;entropy;21;log2;239;0.310726666;0.023341914;661;0;0
0.935;True;entropy;2;log2;586;0.000183193;0.541995643;540;0;0
0.93;False;entropy;35;;772;0.003244931;0.00208687;216;0;0
0.935;True;gini;18;log2;388;0.078785388;0.631008802;601;0;0
0.935;False;gini;40;sqrt;318;0.011702376;0.000787962;299;0;0
0.935;True;gini;84;sqrt;387;0.000725331;0.015445457;572;0;0
0.935;False;log_loss;16;;273;0.008136233;0.011880161;809;0;0
0.935;False;entropy;75;;709;0.013713849;0.000200753;349;0;0
0.935;True;log_loss;32;sqrt;243;0.038466694;0.000562177;226;0;0
