value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.935;logistic;0.000172107;6;adaptive;691;sgd;0;0
0.935;logistic;0.035978771;10;constant;612;lbfgs;0;0
0.935;identity;0.005733329;82;invscaling;922;adam;0;0
0.935;tanh;0.002938114;6;constant;212;lbfgs;0;0
0.935;identity;0.003628823;64;adaptive;259;sgd;0;0
0.935;tanh;0.001858106;85;constant;237;sgd;0;0
0.935;tanh;0.035734205;60;invscaling;644;adam;0;0
0.935;identity;3.47E-05;97;constant;752;sgd;0;0
0.935;relu;3.87E-05;24;invscaling;764;adam;0;0
0.935;relu;2.98E-05;39;invscaling;540;sgd;0;0
0.935;logistic;0.025393876;70;invscaling;986;sgd;0;0
0.93;tanh;0.000165971;93;invscaling;950;sgd;0;0
0.935;identity;0.045115131;89;constant;119;lbfgs;0;0
0.935;logistic;0.000601323;17;adaptive;518;lbfgs;0;0
0.935;relu;0.001142476;63;invscaling;150;adam;0;0
0.935;relu;3.63E-05;69;adaptive;165;sgd;0;0
0.935;logistic;3.56E-05;62;constant;731;sgd;0;0
0.87;identity;0.000409535;7;invscaling;982;sgd;0;0
0.935;logistic;0.007759067;26;constant;944;adam;0;0
0.935;identity;0.015060111;5;constant;909;sgd;0;0
0.935;identity;0.018858512;87;adaptive;845;lbfgs;0;0
0.935;tanh;0.09699384;38;adaptive;933;sgd;0;0
0.935;tanh;0.001308209;10;constant;694;adam;0;0
0.935;logistic;0.000361956;51;invscaling;188;adam;0;0
0.935;tanh;0.060966966;14;adaptive;501;lbfgs;0;0
0.935;logistic;7.57E-05;3;invscaling;550;sgd;0;0
0.935;logistic;0.00022705;70;constant;951;adam;0;0
0.57;relu;0.001692844;99;constant;572;sgd;0;0
0.935;tanh;0.047912287;57;invscaling;734;lbfgs;0;0
0.935;relu;0.000560206;98;invscaling;234;adam;0;0
0.935;tanh;0.008070664;95;invscaling;820;adam;0;0
0.935;identity;3.78E-05;28;constant;510;lbfgs;0;0
0.935;identity;1.29E-05;36;adaptive;419;lbfgs;0;0
0.935;identity;0.000321409;65;constant;128;sgd;0;0
0.935;relu;0.007329358;37;adaptive;109;adam;0;0
0.935;tanh;0.00674783;22;invscaling;239;lbfgs;0;0
0.935;identity;0.003063842;44;adaptive;714;lbfgs;0;0
0.935;logistic;1.39E-05;53;adaptive;112;sgd;0;0
0.93;relu;0.000593385;59;adaptive;784;adam;0;0
0.815;identity;0.000727849;29;invscaling;750;sgd;0;0
0.935;logistic;0.001314655;55;invscaling;686;adam;0;0
0.935;relu;0.000620531;28;adaptive;142;lbfgs;0;0
0.935;relu;0.00742005;16;invscaling;221;sgd;0;0
0.935;identity;0.006608895;37;invscaling;319;sgd;0;0
0.935;logistic;0.00292785;80;invscaling;693;sgd;0;0
0.935;tanh;0.037090778;79;invscaling;313;adam;0;0
0.935;tanh;5.36E-05;65;constant;511;lbfgs;0;0
0.935;relu;0.000669153;71;constant;260;lbfgs;0;0
0.935;relu;0.000106034;73;adaptive;171;lbfgs;0;0
0.935;relu;0.000129522;34;invscaling;895;lbfgs;0;0
0.935;relu;0.000144049;31;constant;276;sgd;0;0
0.935;tanh;0.040620913;17;constant;947;adam;0;0
