value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.701298701;identity;0.014689531;15;adaptive;275;sgd;0;0
0.545454545;identity;0.009555311;8;invscaling;157;sgd;0;0
0.707792208;logistic;0.053609221;57;constant;441;adam;0;0
0.694805195;identity;0.001454321;21;constant;804;adam;0;0
0.701298701;logistic;0.004235304;52;invscaling;233;lbfgs;0;0
0.733766234;identity;0.066930034;23;invscaling;627;adam;0;0
0.655844156;tanh;0.046058087;14;constant;808;sgd;0;0
0.642857143;logistic;0.002489591;4;adaptive;870;sgd;0;0
0.707792208;identity;1.30E-05;64;invscaling;629;sgd;0;0
0.701298701;relu;0.0149383;37;adaptive;775;lbfgs;0;0
0.753246753;identity;0.080702218;57;invscaling;655;lbfgs;0;0
0.616883117;logistic;0.034586784;59;invscaling;616;lbfgs;0;0
0.662337662;identity;0.000837126;13;invscaling;299;adam;0;0
0.681818182;relu;0.001120468;43;invscaling;716;lbfgs;0;0
0.603896104;relu;0.025501966;17;adaptive;407;adam;0;0
0.707792208;logistic;4.54E-05;5;invscaling;994;adam;0;0
0.688311688;identity;0.002363147;12;invscaling;565;adam;0;0
0.694805195;relu;0.004050107;46;constant;972;lbfgs;0;0
0.597402597;identity;0.029293758;81;invscaling;115;sgd;0;0
0.668831169;tanh;0.000128781;28;adaptive;379;lbfgs;0;0
0.668831169;tanh;0.004650887;26;adaptive;445;sgd;0;0
0.642857143;logistic;0.000156789;67;invscaling;894;sgd;0;0
0.720779221;relu;0.033359194;74;adaptive;628;lbfgs;0;0
0.655844156;tanh;0.059080256;90;invscaling;966;sgd;0;0
0.662337662;relu;8.35E-05;74;invscaling;662;lbfgs;0;0
0.753246753;logistic;8.91E-05;54;adaptive;576;adam;0;0
0.688311688;tanh;0.014970853;65;constant;331;adam;0;0
0.720779221;identity;1.46E-05;54;adaptive;261;sgd;0;0
0.727272727;identity;4.11E-05;75;adaptive;133;adam;0;0
0.701298701;relu;1.41E-05;65;adaptive;475;lbfgs;0;0
0.720779221;identity;0.009544731;53;adaptive;621;sgd;0;0
0.688311688;tanh;0.009878762;19;constant;728;lbfgs;0;0
0.701298701;tanh;0.001736443;43;invscaling;999;adam;0;0
0.694805195;identity;0.064797505;41;adaptive;995;sgd;0;0
